id,ax,ay,az,date_created,label,linx,liny,linz,meta_info,people_id,type_sensor
10633,2912,1504,16832,"2018-10-19 17:13:38","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10634,2032,752,16720,"2018-10-19 17:13:38","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10635,2512,1056,16624,"2018-10-19 17:13:39","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10636,2704,992,16672,"2018-10-19 17:13:39","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10637,2752,944,16768,"2018-10-19 17:13:40","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10638,2896,-144,16000,"2018-10-19 17:13:40","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10639,1552,1152,16704,"2018-10-19 17:13:41","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10640,1872,1056,16768,"2018-10-19 17:13:41","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10641,2624,992,16592,"2018-10-19 17:13:43","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10642,2672,976,16640,"2018-10-19 17:13:44","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10643,2816,960,16608,"2018-10-19 17:13:44","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10644,2864,976,16624,"2018-10-19 17:13:45","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10645,2848,960,16640,"2018-10-19 17:13:45","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10646,2816,1040,16592,"2018-10-19 17:13:46","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10647,2736,960,16640,"2018-10-19 17:13:46","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10648,2752,848,16672,"2018-10-19 17:13:47","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10649,2720,912,16592,"2018-10-19 17:13:47","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10650,2656,1072,16688,"2018-10-19 17:13:48","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10651,2640,880,16704,"2018-10-19 17:13:48","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10652,2400,1024,16688,"2018-10-19 17:13:49","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10653,2432,1024,16704,"2018-10-19 17:13:49","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10654,2608,992,16768,"2018-10-19 17:13:50","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10655,2816,944,16576,"2018-10-19 17:13:50","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10656,2512,816,16656,"2018-10-19 17:13:51","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10657,2448,1104,16592,"2018-10-19 17:13:51","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10658,2704,864,16640,"2018-10-19 17:13:52","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10659,2432,960,16640,"2018-10-19 17:13:52","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10660,2384,992,16688,"2018-10-19 17:13:53","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10661,2768,960,16640,"2018-10-19 17:13:54","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10662,2208,1024,16752,"2018-10-19 17:13:55","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10663,2368,1040,16704,"2018-10-19 17:13:55","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10664,2112,1008,16736,"2018-10-19 17:13:56","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10665,2224,992,16704,"2018-10-19 17:13:56","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10666,2208,992,16688,"2018-10-19 17:13:57","work, talking, tired, angry",0,0,0,,nastya,accelerometer
