id,date_created,label,meta_info,people_id,type_sensor,x,y,z
244,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,994,-3565,5614
245,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,992,-3560,5597
246,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,991,-3538,5574
247,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1020,-3573,5620
248,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1008,-3592,5612
249,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,998,-3251,5719
250,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,999,-3199,5705
251,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1002,-3200,5703
252,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1015,-3191,5741
253,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1015,-3157,5722
254,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1014,-3190,5738
255,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,969,-3191,5777
256,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,949,-3226,5781
257,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,951,-3240,5773
258,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,945,-3242,5778
259,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,893,-3272,5770
260,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,877,-3274,5818
261,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,880,-3307,5825
262,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,876,-3339,5748
263,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,878,-3410,5687
264,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,928,-3558,5744
265,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,948,-3659,5714
266,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,994,-3778,5724
267,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1049,-3829,5662
268,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1084,-3905,5656
269,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1130,-3999,5656
270,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1130,-4080,5613
271,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1162,-4157,5630
272,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1206,-4227,5681
273,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1198,-4284,5676
