id,date_created,label,meta_info,people_id,type_sensor,x,y,z
10645,"2018-10-19 17:13:45","work, talking, tired, angry",,nastya,magnetometer,-946,-5817,5056
10646,"2018-10-19 17:13:46","work, talking, tired, angry",,nastya,magnetometer,-945,-5878,5032
10647,"2018-10-19 17:13:46","work, talking, tired, angry",,nastya,magnetometer,-947,-5841,5086
10648,"2018-10-19 17:13:47","work, talking, tired, angry",,nastya,magnetometer,-957,-5839,5088
10649,"2018-10-19 17:13:47","work, talking, tired, angry",,nastya,magnetometer,-913,-5901,5100
10650,"2018-10-19 17:13:48","work, talking, tired, angry",,nastya,magnetometer,-901,-5972,5059
10651,"2018-10-19 17:13:48","work, talking, tired, angry",,nastya,magnetometer,-964,-5855,5071
10652,"2018-10-19 17:13:49","work, talking, tired, angry",,nastya,magnetometer,-916,-5803,5025
10653,"2018-10-19 17:13:49","work, talking, tired, angry",,nastya,magnetometer,-926,-5861,5028
10654,"2018-10-19 17:13:50","work, talking, tired, angry",,nastya,magnetometer,-940,-5740,5118
10655,"2018-10-19 17:13:50","work, talking, tired, angry",,nastya,magnetometer,-951,-5741,5111
10656,"2018-10-19 17:13:51","work, talking, tired, angry",,nastya,magnetometer,-852,-6146,5057
10657,"2018-10-19 17:13:51","work, talking, tired, angry",,nastya,magnetometer,-814,-6412,5041
10658,"2018-10-19 17:13:52","work, talking, tired, angry",,nastya,magnetometer,-844,-6259,5044
10659,"2018-10-19 17:13:52","work, talking, tired, angry",,nastya,magnetometer,-822,-6281,5070
10660,"2018-10-19 17:13:53","work, talking, tired, angry",,nastya,magnetometer,-838,-6300,5049
10661,"2018-10-19 17:13:54","work, talking, tired, angry",,nastya,magnetometer,-937,-5852,5078
10662,"2018-10-19 17:13:55","work, talking, tired, angry",,nastya,magnetometer,-925,-5864,5037
10663,"2018-10-19 17:13:55","work, talking, tired, angry",,nastya,magnetometer,-905,-5991,4983
10664,"2018-10-19 17:13:56","work, talking, tired, angry",,nastya,magnetometer,-882,-5979,4966
10665,"2018-10-19 17:13:56","work, talking, tired, angry",,nastya,magnetometer,-867,-6079,5024
10666,"2018-10-19 17:13:57","work, talking, tired, angry",,nastya,magnetometer,-833,-6123,4982
10667,"2018-10-19 17:13:57","work, talking, tired, angry",,nastya,magnetometer,-862,-6092,4988
10668,"2018-10-19 17:13:58","work, talking, tired, angry",,nastya,magnetometer,-854,-6121,5024
10669,"2018-10-19 17:13:58","work, talking, tired, angry",,nastya,magnetometer,-864,-6074,4961
10670,"2018-10-19 17:13:59","work, talking, tired, angry",,nastya,magnetometer,-848,-5965,5002
10671,"2018-10-19 17:13:59","work, talking, tired, angry",,nastya,magnetometer,-848,-6017,5023
10672,"2018-10-19 17:14:00","work, talking, tired, angry",,nastya,magnetometer,-837,-6102,5027
