id,date_created,label,meta_info,people_id,type_sensor,x,y,z
1,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2888,-1614,5922
2,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2874,-1589,5994
3,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2887,-1596,6003
4,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2904,-1600,5996
5,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2936,-1607,6027
6,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2909,-1590,5929
7,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2893,-1611,5955
8,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2884,-1571,5993
9,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2909,-1584,6010
10,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2937,-1564,6046
11,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2917,-1562,6037
12,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2926,-1589,5986
13,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2964,-1554,5960
14,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2901,-1556,5957
15,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2935,-1561,5975
16,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2943,-1563,5987
17,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2913,-1595,5951
18,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2895,-1568,6000
19,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2924,-1606,6008
20,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2943,-1550,5957
21,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2904,-1589,6012
22,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2927,-1565,6004
23,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2924,-1555,5981
24,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2948,-1585,5995
25,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2937,-1580,5958
26,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2918,-1557,6014
27,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2935,-1604,6021
28,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2908,-1587,6022
29,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2910,-1560,6037
30,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2960,-1624,6011
31,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2959,-1605,5972
32,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2927,-1641,6033
33,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2940,-1605,5985
34,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2955,-1593,5981
35,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2947,-1613,5935
36,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2966,-1589,5970
37,"2018-10-19 00:00:00","maximum angle, simple rolling 0",,,magnetometer,2951,-1572,5971
