id,ax,ay,az,date_created,label,linx,liny,linz,meta_info,people_id,type_sensor
266,5632,752,15792,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
267,5712,800,15760,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
268,5808,768,15664,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
269,5792,768,15744,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
270,5856,736,15664,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
271,5968,736,15664,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
272,6048,800,15616,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
273,5984,736,15600,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
274,6112,720,15600,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
275,6112,752,15616,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
276,6176,800,15584,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
277,6112,784,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
278,6000,800,15680,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
279,6224,560,15584,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
280,6272,624,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
281,6272,688,15520,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
282,6176,672,15600,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
283,6144,640,15616,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
284,5872,848,15712,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
285,5648,848,15696,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
286,5408,816,15808,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
287,5200,752,15920,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
288,4928,832,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
289,4688,800,16144,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
290,4960,560,16048,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
291,4816,624,16160,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
292,4928,736,16016,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
293,5072,832,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
294,5168,864,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
295,5424,832,15856,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
296,5760,736,15760,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
297,5952,816,15600,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
298,6112,848,15440,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
299,6464,816,15376,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
300,6160,832,15584,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
301,5872,928,15712,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
302,5920,800,15600,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
303,5776,832,15808,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
304,5584,800,15744,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
305,5536,960,15872,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
306,5072,864,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
307,5248,816,15824,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
308,6160,848,15552,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
309,6144,848,15616,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
310,6112,816,15632,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
311,6176,816,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
312,6224,864,15504,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
313,6384,720,15488,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
314,5888,960,15696,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
315,6112,896,15664,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
316,6160,864,15600,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
317,6160,848,15552,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
318,6208,848,15584,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
319,6240,784,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
320,6160,864,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
321,6176,832,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
322,6192,896,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
323,6192,832,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
324,6144,864,15680,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
325,6240,816,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
326,6240,832,15488,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
327,6288,848,15520,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
328,6320,848,15536,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
329,6256,752,15616,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
330,6272,864,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
331,6208,832,15536,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
332,6224,880,15488,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
333,6256,864,15536,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
334,6224,848,15552,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
335,6240,832,15568,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
336,6272,864,15520,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
337,6256,848,15520,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
338,6240,832,15536,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
339,6240,768,15616,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
340,6256,752,15520,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
341,6112,896,15632,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
342,5984,960,15584,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
343,5984,880,15712,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
344,5968,896,15584,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
345,6080,768,15632,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
346,6256,752,15552,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
347,5840,864,15664,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
348,5776,880,15744,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
349,5552,944,15776,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
350,5408,944,15888,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
