id,ax,ay,az,date_created,label,linx,liny,linz,meta_info,people_id,type_sensor
1,1696,768,16704,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
2,1712,800,16688,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
3,1744,784,16752,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
4,1680,720,16720,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
5,1728,768,16720,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
6,1712,800,16704,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
7,1712,848,16704,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
8,1712,816,16720,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
9,1648,832,16720,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
10,1712,880,16656,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
11,1712,800,16672,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
12,1744,784,16720,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
13,1712,768,16640,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
14,1696,800,16640,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
15,1760,864,16688,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
16,1792,816,16704,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
17,1712,800,16720,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
18,1712,800,16736,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
19,1648,752,16688,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
20,1712,784,16784,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
21,1696,816,16704,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
22,1680,752,16768,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
23,1712,800,16736,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
24,1696,816,16720,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
25,1696,816,16656,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
26,1712,752,16688,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
27,1696,800,16656,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
28,1664,1072,16704,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
29,1712,832,16688,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
30,1728,784,16704,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
31,1712,800,16736,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
32,1680,800,16704,"2018-10-19 00:00:00","maximum angle, simple rolling 0",0,0,0,,,accelerometer
